"endorsement_fy","event_year","n","med_donations","med_share"
2020,-1,161,6606,0.0464089994553195
2020,0,161,13987,0.105622038664959
2020,1,160,18166,0.0927599481106836
2020,2,158,16880,0.14834875459272
2020,3,153,18379,0.100191690598735
2020,4,151,21227,0.0979667852488465
2021,-2,149,6807,0.113026554088433
2021,-1,182,6594,0.10329868485432
2021,0,181,10346,0.118748788578362
2021,1,181,7551,0.115055719808961
2021,2,177,8900,0.0934530372237098
2021,3,177,6049,0.0861917850312057
2022,-3,120,5878,0.0648585641583161
2022,-2,129,5803,0.0777449751978167
2022,-1,154,7954,0.112703448354856
2022,0,153,13758,0.144932894590897
2022,1,157,14231,0.0998110764397461
2022,2,153,18362,0.137340602547292
2023,-4,82,12171.5,0.0300130106974441
2023,-3,96,12467,0.086013312198057
2023,-2,116,6016,0.027403783842241
2023,-1,139,10430,0.0952380952380952
2023,0,140,14188,0.0684135845948435
2023,1,142,22722,0.111542296668712
