"endorsement_fy","ais_year","n","med_donations_real"
2020,2019,161,6606
2020,2020,161,13793.8856015779
2020,2021,160,17619.786614937
2020,2022,158,15746.2686567164
2020,2023,153,16023.539668701
2020,2024,151,17778.0569514238
2021,2019,149,6807
2021,2020,182,6502.95857988166
2021,2021,181,10034.9175557711
2021,2022,181,7043.84328358209
2021,2023,177,7759.37227550131
2021,2024,177,5066.16415410385
2022,2019,120,5878
2022,2020,129,5722.87968441815
2022,2021,154,7714.83996120272
2022,2022,153,12833.9552238806
2022,2023,157,12407.1490845684
2022,2024,153,15378.5594639866
2023,2019,82,12171.5
2023,2020,96,12294.8717948718
2023,2021,116,5835.11154219205
2023,2022,139,9729.4776119403
2023,2023,140,12369.6599825632
2023,2024,142,19030.1507537688
