"is_startup","event_year","n","mean_share","median_share"
FALSE,-4,82,0.30250437278096,0.0300130106974441
FALSE,-3,216,0.332040178520408,0.0737019910419461
FALSE,-2,394,0.294689269649081,0.0852159323736609
FALSE,-1,636,0.318002436925339,0.0977719484053388
FALSE,0,635,0.328820474152909,0.115703198244783
FALSE,1,640,0.333618050303817,0.110150808030399
FALSE,2,488,0.319800441304151,0.125327498811101
FALSE,3,330,0.28900232357819,0.094171189470164
FALSE,4,151,0.312407327856867,0.0979667852488465
TRUE,-1,45,0.34626207756427,0.187231707078033
TRUE,0,45,0.349187907536557,0.221518188057653
TRUE,1,44,0.301611343711922,0.122873854888924
TRUE,2,34,0.271760777609705,0.113214119687385
TRUE,3,21,0.36979018262074,0.262815941510639
TRUE,4,9,0.354260812169924,0.159385584951842
