"cohort_plot","event_year","n","med_donations_real","index"
"always",-3,5563,16803,105.681105341899
"always",-2,8965,15754.6071774976,99.0873237365567
"always",-1,11942,15899.7201492537,100
"always",0,11861,16129.904097646,101.447723269539
"always",1,11808,15546.9714398049,97.7814156089698
"always",2,9163,17327.4706867672,108.979721178177
"always",3,6253,16640.7035175879,104.660354782213
"never",-3,8143,1084.81262327416,90.41510901492
"never",-2,13414,1043.82347235694,86.9988152982922
"never",-1,18030,1199.81343283582,100
"never",0,18758,1331.25883158174,110.955486507201
"never",1,19525,1357.90494665373,113.176341378697
"never",2,15521,1489.1122278057,124.111981667525
"never",3,10822,1568.99398182426,130.769829615581
"switcher",-3,216,8683.3708086785,113.666324206967
"switcher",-2,394,6105.28952473327,79.9189432060361
"switcher",-1,636,7639.35217335575,100
"switcher",0,635,11768.0906713165,154.045662567577
"switcher",1,640,13391.122278057,175.291333272499
"switcher",2,488,13036.850921273,170.653880400258
"switcher",3,330,9757.02363897371,127.720563439972
