"cohort3","ais_year","n","med_donations_real","mean_share","median_share"
"always",2019,12056,17552,0.301543532912383,0.0710069141236187
"always",2020,11993,15973.3727810651,0.297451023824705,0.0656166103858711
"always",2021,11900,15069.3501454898,0.293358147560768,0.0595127256938378
"always",2022,11814,16097.4813432836,0.305479601232191,0.0623770265752292
"always",2023,11781,16111.5954664342,0.291513955048099,0.0578652949013512
"always",2024,11595,16656.6164154104,0.286024881064458,0.0535956039675802
"never",2019,17197,1190,0.289324504731118,0.0138236588185939
"never",2020,17611,1096.64694280079,0.29456479018252,0.0140138727570748
"never",2021,18366,1114.45198836081,0.298175185998997,0.0152698811405403
"never",2022,19172,1365.67164179104,0.317275211046357,0.0201490504173594
"never",2023,20037,1563.20836965998,0.318098652023509,0.0226574979325033
"never",2024,20680,1480.73701842546,0.31170527882997,0.0229701006040372
"switcher",2019,512,7059.5,0.305759590635819,0.0833387195191549
"switcher",2020,568,8904.83234714004,0.314509882625412,0.0955765628613249
"switcher",2021,611,9699.32104752667,0.311857105896365,0.109066281911604
"switcher",2022,631,10819.9626865672,0.336686209005513,0.119275289380976
"switcher",2023,627,11768.0906713165,0.327959844549097,0.0934530372237098
"switcher",2024,623,13474.0368509213,0.3081726570235,0.101486784140969
