"abn","charity_legal_name","charity_size","ais_year","endorsement_fy","event_year","is_startup","donations_and_bequests","total_gross_income","donation_share"
"11260987026","HIGHFIELDS PIONEER VILLAGE MUSEUM AND PARK INC","Small",2019,2020,-1,TRUE,15758,236956,0.0665017978021236
"11363125088","EDUCATION WITHOUT BORDERS (AUSTRALIA) INCORPORATED","Small",2019,2021,-2,FALSE,7412,69426,0.106761155762971
"12451824370","Chairo Parent Governed Christian Education Limited","Large",2019,2021,-2,FALSE,12135,31395711,0.000386517763525088
"12454623050","Sydney Eye Hospital Foundation Trust","Medium",2019,2023,-4,FALSE,860929,1675098,0.513957392343612
"12608879741","A Chance For Change Ltd","Small",2019,2020,-1,FALSE,71815,92696,0.774736773970829
"13127908187","Australian Indigenous Education Foundation","Large",2019,2020,-1,FALSE,5157033,22218973,0.232100421563139
"13198748098","Northern Beaches Secondary College Balgowlah Boys Campus Parents & Citizens' Association","Medium",2019,2020,-1,FALSE,0,275551,0
"13382113021","Peel Volunteer Resource Center Inc","Small",2019,2022,-3,FALSE,0,235107,0
"13746772326","Whyalla Men's Shed Inc.","Small",2019,2022,-3,FALSE,1658,36875,0.0449627118644068
"13750980152","Tailem Bend Community Centre Inc","Medium",2019,2023,-4,FALSE,408,738617,0.000552383711720689
"13805775145","Vincent Community Shed Inc","Small",2019,2021,-2,FALSE,0,33861,0
"13986701465","Worn Gundidj Aboriginal Co-Op Ltd","Medium",2019,2021,-2,FALSE,0,1152948,0
"14136043783","Fremantle Men's Community Shed Inc","Small",2019,2021,-2,FALSE,12938,149032,0.0868135702399485
"14518578865","Hunter Bible Church Association Inc","Large",2019,2022,-3,FALSE,1536480,1658166,0.926614102568742
"14637350953","Community Compassion Ministries","Small",2019,2023,-4,FALSE,253779,327170,0.775679310450225
"14886457301","Irish Support Victoria Inc","Small",2019,2023,-4,FALSE,3155,197484,0.0159759778007332
"14959633656","Maitland Cancer Appeal Committee Inc","Small",2019,2022,-3,FALSE,1583,145439,0.0108842882583076
"15096096154","Children of Cambodia Foundation Inc","Small",2019,2020,-1,FALSE,20465,41102,0.497907644396866
"15490012190","Mornington Mens Shed Incorporated","Small",2019,2021,-2,FALSE,13450,97456,0.138010999835823
"15600973210","New Era Disability Services Incorporated","Large",2019,2021,-2,FALSE,0,829227,0
"15606937763","BK 2 Basics Melbourne Incorporated","Small",2019,2020,-1,FALSE,17585,22685,0.775181838219087
"15894216603","Helena River Steiner School Community Association Inc","Medium",2019,2020,-1,FALSE,0,797574,0
"15921239978","InLife Turning Point Foundation","Small",2019,2020,-1,FALSE,46702,50953,0.916570172511923
"16068548631","Wesnet (Women's Services Network) Incorporated","Large",2019,2020,-1,FALSE,0,1445577,0
"16095377370","Australian Society Of Anaesthetists Limited","Large",2019,2020,-1,FALSE,2514,7587175,0.000331348624488034
"16145204039","Doctors' Health Sa Limited","Medium",2019,2022,-3,FALSE,0,487089,0
"16164251972","Gloucester Men's Shed Incorporated","Small",2019,2021,-2,FALSE,2326,15384,0.151196047841914
"16308384841","DHUBU-GU LOCAL ABORIGINAL LAND COUNCIL","Medium",2019,2021,-2,FALSE,665876,814579,0.817448031437098
"16337158552","Waikerie Lutheran Primary School Incorporated","Medium",2019,2020,-1,FALSE,1404,1886059,0.000744409374256055
"16530482569","Kyogle Together Incorporated","Medium",2019,2022,-3,FALSE,0,315826,0
"16600672812","Mt Baw Baw Volunteer Ski Patrol Inc.","Small",2019,2022,-3,FALSE,3000,8042,0.373041531957225
"16624152638","Mission2Myanmar","Small",2019,2020,-1,FALSE,126941,128025,0.99153290372974
"16674035894","Retirement Village Residents Association (Inc)","Small",2019,2020,-1,FALSE,4023,136637,0.02944297664615
"17002512370","The Hills Grammar School","Large",2019,2020,-1,FALSE,133109,29421071,0.00452427445622221
"17224504183","Northshore Men’s Shed Inc","Small",2019,2023,-4,FALSE,0,22858,0
"17285520047","Port Kembla & District Meals On Wheels Inc","Small",2019,2020,-1,FALSE,0,203306,0
"17323323729","Milton Ulladulla Men's Shed Incorporated","Small",2019,2021,-2,FALSE,10288,82082,0.125338076557589
"17422428487","Daylesford Community Op Shop Inc.","Small",2019,2023,-4,FALSE,153,81995,0.00186596743703884
"17607007303","14 Stars Children Foundation Pty Ltd","Small",2019,2021,-2,FALSE,75788,75807,0.999749363515243
