abn,charity_name,subtype,classification,rule_id,rule_status,ais_year
35514545219,ACT Volunteer Brigades Association,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2023
35514545219,ACT Volunteer Brigades Association,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2024
79387075436,Armidale Tree Group Incorporated,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2021
79387075436,Armidale Tree Group Incorporated,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2022
79387075436,Armidale Tree Group Incorporated,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2023
79387075436,Armidale Tree Group Incorporated,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2024
88309326546,Association Of Volunteer Bush Fire Brigades Wa Incorporated,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2021
88309326546,Association Of Volunteer Bush Fire Brigades Wa Incorporated,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2022
88309326546,Association Of Volunteer Bush Fire Brigades Wa Incorporated,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2023
88309326546,Association Of Volunteer Bush Fire Brigades Wa Incorporated,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2024
24047272974,Augusta Volunteer Marine Rescue Group (Inc),disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2022
55189205693,Batemans Bay Surf Life Saving Club Inc,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2021
55189205693,Batemans Bay Surf Life Saving Club Inc,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2022
55189205693,Batemans Bay Surf Life Saving Club Inc,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2023
55189205693,Batemans Bay Surf Life Saving Club Inc,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2024
74196232188,Brisbane Valley - Kilcoy Landcare Association Inc.,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2022
74196232188,Brisbane Valley - Kilcoy Landcare Association Inc.,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2023
89077353086,Buddhist Compassion Relief Tzu-Chi Foundation Australia Inc.,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2021
97677231692,Bushfire Resilience Inc.,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2022
97677231692,Bushfire Resilience Inc.,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2023
97677231692,Bushfire Resilience Inc.,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2024
35875649511,Cobargo Bushfire Resilience Centre Incorporated,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2022
35875649511,Cobargo Bushfire Resilience Centre Incorporated,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2023
35875649511,Cobargo Bushfire Resilience Centre Incorporated,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2024
71589381152,Community Enterprise Foundation Disaster Relief Fund,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2022
71589381152,Community Enterprise Foundation Disaster Relief Fund,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2023
71589381152,Community Enterprise Foundation Disaster Relief Fund,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2024
55845649317,Davie Family Foundation,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2021
13787571065,Denmark Community Fund,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2024
23649303186,EAST GIPPSLAND COMMUNITY FOUNDATION LIMITED,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2022
23649303186,EAST GIPPSLAND COMMUNITY FOUNDATION LIMITED,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2023
23649303186,EAST GIPPSLAND COMMUNITY FOUNDATION LIMITED,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2024
95329857496,East Gidgegannup Volunteer Bush Fire Brigade,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2021
81758893342,Edith Farms Volunteer Bushfire Brigade,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2021
81758893342,Edith Farms Volunteer Bushfire Brigade,disaster_preparedness,Bushfires,DP-CLASSIE-08,whitelisted,2022
